	trial_nr	stimulus_set	correct_stim_lr	cue_txt	p_win_left	p_win_right	p_win_correct	p_win_incorrect	fix_cross_1	cue	fix_cross_2	stimulus	fix_cross_3	highlight	fix_cross_4	feedback	iti_posttrial	total_duration	block	stim_left	stim_right	stim_high	stim_low	n_trs
0	0	0	0	SPD	0.8	0.2	0.8	0.2	1.5	1.0	0.5	1.5	0.5	0	0	1	2.28	8.28	1	j	N	j	N	6
1	1	2	1	SPD	0.4	0.6	0.6	0.4	0.5	1.0	0.5	1.5	0.5	0	0	1	3.28	8.28	1	M	m	m	M	6
2	2	1	0	SPD	0.7	0.3	0.7	0.3	1.5	1.0	1.0	1.5	0.5	0	0	1	1.78	8.28	1	Q	J	Q	J	6
3	3	0	1	SPD	0.2	0.8	0.8	0.2	0.5	1.0	1.5	1.5	2.0	0	0	1	0.78	8.28	1	N	j	j	N	6
4	4	1	0	ACC	0.7	0.3	0.7	0.3	1.0	1.0	0.5	1.5	2.0	0	0	1	1.28	8.28	1	Q	J	Q	J	6
5	5	1	1	ACC	0.3	0.7	0.7	0.3	0.5	1.0	0.5	1.5	0.5	0	0	1	3.28	8.28	1	J	Q	Q	J	6
6	6	2	0	ACC	0.6	0.4	0.6	0.4	1.0	1.0	0.5	1.5	1.5	0	0	1	1.78	8.28	1	m	M	m	M	6
7	7	2	1	SPD	0.4	0.6	0.6	0.4	0.5	1.0	0.5	1.5	0.5	0	0	1	3.28	8.28	1	M	m	m	M	6
8	8	0	0	ACC	0.8	0.2	0.8	0.2	0.5	1.0	1.5	1.5	0.5	0	0	1	9.18	15.18	1	j	N	j	N	11
9	9	0	1	SPD	0.2	0.8	0.8	0.2	0.5	1.0	0.5	1.5	0.5	0	0	1	3.28	8.28	1	N	j	j	N	6
10	10	2	1	SPD	0.4	0.6	0.6	0.4	1.0	1.0	0.5	1.5	0.5	0	0	1	2.78	8.28	1	M	m	m	M	6
11	11	2	0	SPD	0.6	0.4	0.6	0.4	1.5	1.0	1.5	1.5	0.5	0	0	1	1.28	8.28	1	m	M	m	M	6
