	trial_nr	stimulus_set	correct_stim_lr	cue_txt	p_win_left	p_win_right	p_win_correct	p_win_incorrect	fix_cross_1	cue	fix_cross_2	stimulus	fix_cross_3	highlight	fix_cross_4	feedback	iti_posttrial	total_duration	block	stim_left	stim_right	stim_high	stim_low	n_trs
0	0	1	0	ACC	0.7	0.3	0.7	0.3	1.0	1.0	1.0	1.5	0.5	0	0	1	2.28	8.28	1	N	j	N	j	6
1	1	0	1	SPD	0.2	0.8	0.8	0.2	1.5	1.0	1.0	1.5	1.0	0	0	1	1.28	8.28	1	m	M	M	m	6
2	2	0	1	ACC	0.2	0.8	0.8	0.2	0.5	1.0	0.5	1.5	1.5	0	0	1	2.28	8.28	1	m	M	M	m	6
3	3	2	1	ACC	0.4	0.6	0.6	0.4	1.0	1.0	2.0	1.5	0.5	0	0	1	1.28	8.28	1	Q	J	J	Q	6
4	4	1	1	SPD	0.3	0.7	0.7	0.3	0.5	1.0	1.0	1.5	1.0	0	0	1	2.28	8.28	1	j	N	N	j	6
5	5	2	1	ACC	0.4	0.6	0.6	0.4	0.5	1.0	1.5	1.5	0.5	0	0	1	2.28	8.28	1	Q	J	J	Q	6
6	6	2	1	SPD	0.4	0.6	0.6	0.4	1.0	1.0	0.5	1.5	2.0	0	0	1	1.28	8.28	1	Q	J	J	Q	6
7	7	1	0	SPD	0.7	0.3	0.7	0.3	1.0	1.0	0.5	1.5	2.0	0	0	1	1.28	8.28	1	N	j	N	j	6
8	8	1	1	SPD	0.3	0.7	0.7	0.3	0.5	1.0	1.5	1.5	0.5	0	0	1	2.28	8.28	1	j	N	N	j	6
9	9	2	1	ACC	0.4	0.6	0.6	0.4	0.5	1.0	0.5	1.5	1.5	0	0	1	9.18	15.18	1	Q	J	J	Q	11
10	10	0	1	SPD	0.2	0.8	0.8	0.2	1.5	1.0	0.5	1.5	1.0	0	0	1	1.78	8.28	1	m	M	M	m	6
11	11	2	1	ACC	0.4	0.6	0.6	0.4	0.5	1.0	1.0	1.5	1.5	0	0	1	1.78	8.28	1	Q	J	J	Q	6
12	12	0	1	ACC	0.2	0.8	0.8	0.2	1.0	1.0	0.5	1.5	0.5	0	0	1	2.78	8.28	1	m	M	M	m	6
13	13	0	1	ACC	0.2	0.8	0.8	0.2	1.5	1.0	0.5	1.5	1.0	0	0	1	1.78	8.28	1	m	M	M	m	6
14	14	1	0	SPD	0.7	0.3	0.7	0.3	0.5	1.0	1.0	1.5	1.0	0	0	1	2.28	8.28	1	N	j	N	j	6
15	15	0	1	SPD	0.2	0.8	0.8	0.2	1.0	1.0	0.5	1.5	0.5	0	0	1	2.78	8.28	1	m	M	M	m	6
16	16	0	0	ACC	0.8	0.2	0.8	0.2	2.0	1.0	1.0	1.5	0.5	0	0	1	1.28	8.28	1	M	m	M	m	6
17	17	1	1	ACC	0.3	0.7	0.7	0.3	1.5	1.0	0.5	1.5	0.5	0	0	1	9.18	15.18	1	j	N	N	j	11
18	18	1	0	ACC	0.7	0.3	0.7	0.3	1.5	1.0	0.5	1.5	0.5	0	0	1	2.28	8.28	1	N	j	N	j	6
19	19	2	0	SPD	0.6	0.4	0.6	0.4	0.5	1.0	0.5	1.5	0.5	0	0	1	3.28	8.28	1	J	Q	J	Q	6
20	20	0	1	ACC	0.2	0.8	0.8	0.2	0.5	1.0	0.5	1.5	0.5	0	0	1	3.28	8.28	1	m	M	M	m	6
21	21	0	1	ACC	0.2	0.8	0.8	0.2	0.5	1.0	1.0	1.5	2.0	0	0	1	1.28	8.28	1	m	M	M	m	6
22	22	1	1	SPD	0.3	0.7	0.7	0.3	1.0	1.0	0.5	1.5	1.0	0	0	1	2.28	8.28	1	j	N	N	j	6
23	23	1	1	SPD	0.3	0.7	0.7	0.3	1.0	1.0	0.5	1.5	0.5	0	0	1	2.78	8.28	1	j	N	N	j	6
24	24	2	0	SPD	0.6	0.4	0.6	0.4	0.5	1.0	1.0	1.5	1.5	0	0	1	1.78	8.28	1	J	Q	J	Q	6
25	25	2	0	SPD	0.6	0.4	0.6	0.4	1.0	1.0	0.5	1.5	1.0	0	0	1	2.28	8.28	1	J	Q	J	Q	6
26	26	0	0	ACC	0.8	0.2	0.8	0.2	0.5	1.0	0.5	1.5	0.5	0	0	1	3.28	8.28	1	M	m	M	m	6
27	27	2	0	ACC	0.6	0.4	0.6	0.4	0.5	1.0	1.5	1.5	0.5	0	0	1	2.28	8.28	1	J	Q	J	Q	6
28	28	1	1	ACC	0.3	0.7	0.7	0.3	0.5	1.0	0.5	1.5	0.5	0	0	1	3.28	8.28	1	j	N	N	j	6
29	29	2	1	ACC	0.4	0.6	0.6	0.4	1.0	1.0	1.0	1.5	0.5	0	0	1	2.28	8.28	1	Q	J	J	Q	6
30	30	2	1	SPD	0.4	0.6	0.6	0.4	0.5	1.0	0.5	1.5	1.0	0	0	1	9.68	15.18	1	Q	J	J	Q	11
